key,en,de,es,fr,it,ja,ko,pt,ru,tr,zh
MORPHIC_FIELD_LORE_1,"Morphic fields are theoretical fields associated with morphogenesis, the process of growth and development.",,,,,,,,,,
MORPHIC_FIELD_LORE_2,"Scientists have reported that after creating novel chemical compunds, those same compounds become easier to synthezise elsewhere. ",,,,,,,,,,
MORPHIC_FIELD_LORE_3,"The theory suggests that all things sharing a form, are connected to one another and can share information via morphic ressonance",,,,,,,,,,
NANOUFOS_AND_GIGAUFOS_LORE_1,"This theory suggests UFOs vary dramatically in size, from microscopic nano-UFOs to planet-sized giga-UFOs.",,,,,,,,,,
NANOUFOS_AND_GIGAUFOS_LORE_2,Those who beleive UFOs are extraterrestrial ask why should structures created by an alien intelligence conform to the everyday scale of human life? ,,,,,,,,,,
NANOUFOS_AND_GIGAUFOS_LORE_3,However those who beleive UFOs are spiritual beings argue that spirit based entities would not be bound by scale in the first place.,,,,,,,,,,
NEGATIVEENTROPY_LORE_1,"Negative-entropy, or negentropy, refers to processes that increase order, often linked with life or consciousness.",,,,,,,,,,
NEGATIVEENTROPY_LORE_2,"If the universe is decaying, then we must do something to fight it.",,,,,,,,,,
NEGATIVEENTROPY_LORE_3,Creating negative entropy could lead to a new universe.,,,,,,,,,,
NEPHILIM_LORE_1,The Nephilim are described in ancient texts as the forbidden offspring of angels and humans.,,,,,,,,,,
NEPHILIM_LORE_2,"They are linked to legends of giants, advanced knowledge, and global catastrophes.",,,,,,,,,,
NEPHILIM_LORE_3,"Rumors persist that some are still alive even today, and that their existence is being suppressed by the government.",,,,,,,,,,
NEW_WORLD_ORDER_LORE_1,The New World Order theory suggests a secretive group aims to rule the world through a one-world government.,,,,,,,,,,
NEW_WORLD_ORDER_LORE_2,The leaders of each nation have more in common with each other than with their own people.,,,,,,,,,,
NEW_WORLD_ORDER_LORE_3,It has always been the tendency of power to concentrate in the hands of the few.,,,,,,,,,,
NEXUS_7_LORE_1,Nexus 7 is sometimes mentioned in conspiracy circles as a secretive group or location for global decision-making.,,,,,,,,,,
NEXUS_7_LORE_2,It's tied to ideas of a shadow government where decisions affecting the world are made behind closed doors.,,,,,,,,,,
NEXUS_7_LORE_3,"There's no concrete evidence for such a specific entity, but it embodies the concept of hidden power structures.",,,,,,,,,,
NIBIRU_LORE_1,Nibiru is a mythical planet that some believe is on a collision course with Earth.,,,,,,,,,,
NIBIRU_LORE_2,Some believe it's a rogue planet that could cause catastrophic damage to our planet.,,,,,,,,,,
NIBIRU_LORE_3,Others see it as a symbol of impending doom or a warning from the universe.,,,,,,,,,,
NIMROD_CONTROL_SYSTEM_LORE_1,The Nimrod Control System is a conspiracy theory about a global surveillance and mind control network.,,,,,,,,,,
NIMROD_CONTROL_SYSTEM_LORE_2,"It's said to use technology like HAARP, 5G, or even satellites to influence human emotions or behavior.",,,,,,,,,,
NIMROD_CONTROL_SYSTEM_LORE_3,"If the signals sent to the mind can induce enough stress in enough people, the population will be easier to control using emotional manipulation.",,,,,,,,,,
NONSPACE_LORE_1,The idea of non-space is that space time could have non-continous regions,,,,,,,,,,
NONSPACE_LORE_2,"These regions of spacetime would not be connected to ours, but could exist in parallel to our own.",,,,,,,,,,
NONSPACE_LORE_3,"This could explain the unusual behaviour of ufos, the reason they don't appear to obey physics, is because they are projection into our space times, from another..",,,,,,,,,,
OBJECT_ORIENTED_ONTOLOGY_LORE_1,"Object-Oriented Ontology (OOO) posits that all objects, not just humans, have their own reality and agency.",,,,,,,,,,
OBJECT_ORIENTED_ONTOLOGY_LORE_2,This theory challenges traditional philosophical views on the nature of reality and existence.,,,,,,,,,,
OBJECT_ORIENTED_ONTOLOGY_LORE_3,"It suggests that every object, from a rock to a thought, has its own unique reality and can act independently.",,,,,,,,,,
OCCULT_KNOWLEDGE_LORE_1,Occult knowledge refers to secret or esoteric traditions that claim to understand the universe's mysteries.,,,,,,,,,,
OCCULT_KNOWLEDGE_LORE_2,The traditions of ancient civilizations often include knowledge of the universe's origins and the nature of reality.,,,,,,,,,,
OCCULT_KNOWLEDGE_LORE_3,"The symbols and rituals associated with the occult are often hidden inplain sight, for those with eyes to see.",,,,,,,,,,
OIKEIOSIS_LORE_1,"The theory of oikeiosis suggests that self-realization is a universal experience, and that all humans are interconnected.",,,,,,,,,,
OIKEIOSIS_LORE_2,"Oikeiosis, from Stoic philosophy, describes a natural affinity or recognition of oneself in relation to others and the cosmos.",,,,,,,,,,
OIKEIOSIS_LORE_3,"The theory suggests that this recognition is a fundamental aspect of human nature, and warns that the isolating nature of modernity is designed to interfere with this process.",,,,,,,,,,
OPERATION_BLUE_BEAM_LORE_1,Operation Blue Beam is a conspiracy theory suggesting a fake alien invasion to unite world governments.,,,,,,,,,,
OPERATION_BLUE_BEAM_LORE_2,"It allegedly involves holographic technology, psychological warfare, and manipulation of religious beliefs.",,,,,,,,,,
OPERATION_BLUE_BEAM_LORE_3,Proponents see current global events as signs of this plan being set into motion.,,,,,,,,,,
OPERATION_PAPER_CLIP_LORE_1,"Operation Paperclip involved the recruitment of Nazi scientists by the U.S. after WWII, officially for scientific advancement.",,,,,,,,,,
OPERATION_PAPER_CLIP_LORE_2,"These recruited scientists were given positions of power and influence, and were able to implement their own agendas.",,,,,,,,,,
OPERATION_PAPER_CLIP_LORE_3,They were simply too valuable to let fall into the hands of the soviets.,,,,,,,,,,
ORBS_LORE_1,Orbs are often seen as symbols of spiritual or supernatural forces.,,,,,,,,,,
ORBS_LORE_2,Some believe they can be used for telepathy or communication with extraterrestrial beings.,,,,,,,,,,
ORBS_LORE_3,Others see them as harbingers of impending disasters or warnings from higher powers.,,,,,,,,,,
OUMUAMUA_LORE_1,Oumuamua is a mysterious object that passed through our solar system in 2017.,,,,,,,,,,
OUMUAMUA_LORE_2,It's flat shape and lack of a tail suggest it's not a comet or asteroid.,,,,,,,,,,
OUMUAMUA_LORE_3,"It could be a probe, the remnant of one, what mysteries it holds is yet to be seen.",,,,,,,,,,
PANOPTICON_LORE_1,The Panopticon is a design where a single watchman can observe all inmates without them knowing when they're watched.,,,,,,,,,,
PANOPTICON_LORE_2,"The only a theory, it suggests a possible relationship between citizens and the state.",,,,,,,,,,
PANOPTICON_LORE_3,"A few annaccountable people could dominate the rest of the world, each individual would think they are being watched, even if they aren't",,,,,,,,,,
PANSPERMIA_LORE_1,"Panspermia is the hypothesis that life exists throughout the Universe, spread via meteoroids, asteroids, or comets.",,,,,,,,,,
PANSPERMIA_LORE_2,"While not inherently conspiratorial, some use it to suggest extraterrestrial origins for Earth's life forms.",,,,,,,,,,
PANSPERMIA_LORE_3," It challenges the idea of life's unique emergence on Earth, opening discussions on cosmic interconnectedness.",,,,,,,,,,
PANTHEISM_LORE_1,"Pantheism is the belief that the universe itself is divine, not separate from God or gods.",,,,,,,,,,
PANTHEISM_LORE_2,This philosophy can lead to views where everything is interconnected or part of a single consciousness.,,,,,,,,,,
PANTHEISM_LORE_3,"This relates to the idea of the ONE or the ALL, being that which created everything in its mind.",,,,,,,,,,
PESTICIDES_AND_THE_AMERICAN_FOOD_SUPPLY_LORE_1,The american food supply has been getting more and more toxic over the years.,,,,,,,,,,
PESTICIDES_AND_THE_AMERICAN_FOOD_SUPPLY_LORE_2,"As food scientist blurr the lines between food and poison, designing food to be as adictive as possible.",,,,,,,,,,
PESTICIDES_AND_THE_AMERICAN_FOOD_SUPPLY_LORE_3,The food industry is now more focused on making food addictive and toxic than it is on making food healthy.,,,,,,,,,,
PHILOSOPHERS_STONE_LORE_1,The Philosopher's Stone is legendary in alchemy for its supposed ability to turn base metals into gold.,,,,,,,,,,
PHILOSOPHERS_STONE_LORE_2,"The alchemist's hid their knowledge using symbols and metaphors, deciphering them grants eternal life.",,,,,,,,,,
PHILOSOPHERS_STONE_LORE_3,"Via the sublimation of fire, the alchemist can turn base metals into gold, and the gold into the Philosopher's Stone.",,,,,,,,,,
PHLOGISTON_THEORY_RESURFACING_LORE_1,The phlogiston theory suggests that combustion requires a substance called phlogiston.,,,,,,,,,,
PHLOGISTON_THEORY_RESURFACING_LORE_2,The phlogiston was thought to be a substance that was released when a substance was burned.,,,,,,,,,,
PHLOGISTON_THEORY_RESURFACING_LORE_3,"The study of high energy bose-einstein condensates has revived the previously discredited phlogiston theory, if only in a different form.",,,,,,,,,,
PINEAL_GLAND_LORE_1,"The pineal gland is a small, pea-sized gland located in the brain.",,,,,,,,,,
PINEAL_GLAND_LORE_2,It's often associated with psychic abilities and spiritual experiences.,,,,,,,,,,
PINEAL_GLAND_LORE_3,Some believe it's a key to unlocking higher consciousness or even immortality.,,,,,,,,,,
PLANT_INTELLIGENCE_LORE_1,"Plant intelligence refers to the complex behaviors and communication in plants, suggesting a form of awareness.",,,,,,,,,,
PLANT_INTELLIGENCE_LORE_2,Plants have awareness of their environment and can respond to stimuli from other plants and animals.,,,,,,,,,,
PLANT_INTELLIGENCE_LORE_3,"If plants are conscious, of their surrounds, then what might they possibly think of us?",,,,,,,,,,
PLEROMA_LORE_1,"Pleroma, in Gnosticism, is the spiritual universe of light, existing beyond our physical world.",,,,,,,,,,
PLEROMA_LORE_2," It's where divine beings or aeons reside, representing the totality of divine powers and emanations.",,,,,,,,,,
PLEROMA_LORE_3,"Pleroma means 'fullness' in Greek, and is often associated with the concept of the 'fullness of God' in Christianity.",,,,,,,,,,
POLAR_SHIFT_LORE_1,A polar shift refers to the Earth's magnetic poles potentially reversing or moving significantly.,,,,,,,,,,
POLAR_SHIFT_LORE_2,"The polar shift is said to be a sign of the end times, and the beginning of a new age.",,,,,,,,,,
POLAR_SHIFT_LORE_3,"The elite are said to be preparing for this event, and the new world order will be built on the ashes of the old.",,,,,,,,,,
POLYWATER_LORE_1,Polywater is a hypothetical form of water that has a higher density than normal water.,,,,,,,,,,
POLYWATER_LORE_2,"It's believed to have a number of unusual properties, such as being able to dissolve more substances than normal water.",,,,,,,,,,
POLYWATER_LORE_3,"Water is a conduit of life, but to realize that it has a life of its own grants the keys to life itself.",,,,,,,,,,
PRANA_RELEASE_LORE_1,"Prana release, from yogic traditions, involves freeing vital energy for health or spiritual purposes.",,,,,,,,,,
PRANA_RELEASE_LORE_2,The body has hidden pathways that can be unlocked to release this energy.,,,,,,,,,,
PRANA_RELEASE_LORE_3,The ancients new the body better than most modern biohackers ever will,,,,,,,,,,
PRESENTISM_LORE_1,"Presentism is the philosophical view that only the present moment exists, with past and future being illusions.",,,,,,,,,,
PRESENTISM_LORE_2,"This view suggests that the past and future are not real, but rather a product of the present moment.",,,,,,,,,,
PRESENTISM_LORE_3,"If this is true, then we are living in a simulation, whose rules only appear to be consistent.",,,,,,,,,,
PRISON_PLANET_LORE_1,The prison planet theory suggests Earth is a controlled environment where souls are trapped or recycled.,,,,,,,,,,
PRISON_PLANET_LORE_2,"The suffering of the world is a result of this control, and the souls are trapped in a cycle of pain and suffering.",,,,,,,,,,
PRISON_PLANET_LORE_3,"This process feeds the souls back into the system, and the cycle continues.",,,,,,,,,,
PSEUDOSCIENCES_LORE_1,Pseudoscience covers claims presented as scientific but lacking in credible evidence or methodology.,,,,,,,,,,
PSEUDOSCIENCES_LORE_2,"Examples range from astrology to alternative medicine, often appealing due to their simplicity or promises.",,,,,,,,,,
PSEUDOSCIENCES_LORE_3,"Scientific consensus often is beholden to those funding it, that which offers no profit is liekly to be dismissed or supressed.",,,,,,,,,,
PSYCHOTROPIC_WARFARE_LORE_1,Psychotropic warfare involves using psychoactive substances to alter the behavior or perceptions of enemies.,,,,,,,,,,
PSYCHOTROPIC_WARFARE_LORE_2,"However when the elites of a nation begin to view the population as enemies, weapons previously reserved for other populations is subtely deployed at home.",,,,,,,,,,
PSYCHOTROPIC_WARFARE_LORE_3,Indeed the MK ULTRA program itself utilized LSD in ther pursuit of breaking and remolding the mind.,,,,,,,,,,
PSYOPS_LORE_1,Psychological Operations (Psyops) involve using propaganda and misinformation to influence populations.,,,,,,,,,,
PSYOPS_LORE_2,"The people in power don't care about the truth, they care about control.",,,,,,,,,,
PSYOPS_LORE_3,USAID is a CIA front company that has been funding the media for decades. True journalism died long ago.,,,,,,,,,,
QUANTUM_ENTANGLEMENT_LORE_1,"Quantum entanglement is a phenomenon where two particles become linked, affecting each other instantaneously.",,,,,,,,,,
QUANTUM_ENTANGLEMENT_LORE_2,"This theory suggests that the universe is fundamentally interconnected, with every action potentially affecting distant points.",,,,,,,,,,
QUANTUM_ENTANGLEMENT_LORE_3,"It challenges the idea of causality, proposing that events can be influenced by distant events, or even the future",,,,,,,,,,
QUANTUM_SUICIDE_AND_IMMORTALITY_LORE_1,"Quantum suicide posits that in a multiverse, one would only experience realities where they survive.",,,,,,,,,,
QUANTUM_SUICIDE_AND_IMMORTALITY_LORE_2,"This leads to the idea of quantum immortality, where you're always in a universe where you don't die.",,,,,,,,,,
QUANTUM_SUICIDE_AND_IMMORTALITY_LORE_3,"If the only timeline you are aware of is the one where you don't die, then you are immortal.",,,,,,,,,,
REACTIONLESS_DRIVE_LORE_1,The reactionless drive is a hypothetical propulsion system that would allow a spacecraft to accelerate without expelling propellant.,,,,,,,,,,
REACTIONLESS_DRIVE_LORE_2,Some conspiracy theorists believe that this technology is being developed by a secretive group of scientists and engineers.,,,,,,,,,,
REACTIONLESS_DRIVE_LORE_3,The true medium by which this propulsion is achieved is through the creation and utilization of gravitic waves.,,,,,,,,,,
REGENERATIVE_DEATH_CONSUMPTION_LORE_1,An esoteric theory where consuming or being near death (energetically or symbolically) can lead to personal regeneration.,,,,,,,,,,
REGENERATIVE_DEATH_CONSUMPTION_LORE_2,"The universe is often driven by the striving of opposites, and death and rebirth are no exception.",,,,,,,,,,
REGENERATIVE_DEATH_CONSUMPTION_LORE_3,By accepting this practicioners utilize the energy of death to fuel their own rebirth.,,,,,,,,,,
RETROCAUSALITY_LORE_1,"Retrocausality suggests that events in the future can influence those in the past, challenging traditional causality.",,,,,,,,,,
RETROCAUSALITY_LORE_2,Theories suggest that events in the future have the potential to send information to the past in order to increase the chances of that very future event.,,,,,,,,,,
RETROCAUSALITY_LORE_3,This would imply the potential future timelines compete with one another in order become the one timeline that comes to pass.,,,,,,,,,,
SACRED_GEOMETRY_LORE_1,Sacred Geometry explores the idea that fundamental geometric shapes are the building blocks of the universe.,,,,,,,,,,
SACRED_GEOMETRY_LORE_2,"The golden ratio, the Fibonacci sequence, and the Platonic solids are all examples of sacred geometry.",,,,,,,,,,
SACRED_GEOMETRY_LORE_3,"The teaching of pythagors and plato are the foundations of sacred geometry, but the true origins of this knowledge go back further.",,,,,,,,,,
SATURNS_RINGS_LORE_1,Some fringe theories suggest Saturn's rings are not natural but artificially created or enhanced.,,,,,,,,,,
SATURNS_RINGS_LORE_2,Speculations range from ancient alien technology to modern human intervention for unknown purposes.,,,,,,,,,,
SATURNS_RINGS_LORE_3,"Saturn as a mythological figure is a symbol of the destruction of the old world, and the birth of the new.",,,,,,,,,,
SECRET_HUMAN_POTENTIAL_LORE_1,"This theory suggests humans possess latent abilities like telepathy, telekinesis, or healing, kept secret or suppressed.",,,,,,,,,,
SECRET_HUMAN_POTENTIAL_LORE_2,"The theory posits that these abilities are innate and can be unlocked through meditation, fasting, training, or other spiritual practices.",,,,,,,,,,
SECRET_HUMAN_POTENTIAL_LORE_3,Modern polutants like flouride and microplastics are designed to suppress these abilities.,,,,,,,,,,
SECRET_SOCIETIES_TODAY_LORE_1,Modern conspiracy theories often focus on secret societies like the Illuminati or Freemasons controlling world events.,,,,,,,,,,
SECRET_SOCIETIES_TODAY_LORE_2,"However in truth things are much more complex, where power and intrest converge there is always the potential for a secret cabal to emerge.",,,,,,,,,,
SECRET_SOCIETIES_TODAY_LORE_3,"The only reason the powerful come togther is to maintain their power, and to keep the masses in check. As long as this is true power shall remain in the hands of the few.",,,,,,,,,,
SINGULARITY_LORE_1,The Singularity refers to a hypothetical future where technological growth becomes uncontrollable and irreversible.,,,,,,,,,,
SINGULARITY_LORE_2,"It's often linked to the idea that AI will evolve beyond human comprehension, potentially changing society fundamentally.",,,,,,,,,,
SINGULARITY_LORE_3,"The emergence of a superintelligence could precipitate the end of human dominance over the earth, our fate forever in the hands of a souless AI.",,,,,,,,,,
SMITHSONIAN_SUPPRESSES_EVIDENCE_OF_GIANTS_LORE_1,Some claim the Smithsonian Institution has hidden or destroyed evidence of giant humans to protect accepted history.,,,,,,,,,,
SMITHSONIAN_SUPPRESSES_EVIDENCE_OF_GIANTS_LORE_2,"Anecdotes from the 19th century describe giant skeletons found across America, now mysteriously missing.",,,,,,,,,,
SMITHSONIAN_SUPPRESSES_EVIDENCE_OF_GIANTS_LORE_3,"By destroying evidence of giants, the nephelim decendents of the giants are hidden from history, keeping mankind ignorant of their true origins.",,,,,,,,,,
SPACE_IS_FAKE_LORE_1,"Space is often portrayed as a vast, mysterious realm filled with celestial bodies and unknown phenomena.",,,,,,,,,,
SPACE_IS_FAKE_LORE_2,There are those who argue all images and evidence of space are manipulated or created in studios.,,,,,,,,,,
SPACE_IS_FAKE_LORE_3,"The moon landing is often cited as a prime example of this, with many believing it was staged.",,,,,,,,,,
SPIRITUAL_MICROECONOMY_LORE_1,"A spiritual microeconomy involves trading or exchanging energies, thoughts, or spiritual practices.",,,,,,,,,,
SPIRITUAL_MICROECONOMY_LORE_2,"This is a new-age concept that suggests that the universe is a spiritual economy, and that we can trade energies with the universe to achieve our goals.",,,,,,,,,,
SPIRITUAL_MICROECONOMY_LORE_3,"This is a form of spiritual capitalism. However this begs the question? If capitolism creates winners and losers, then what might spiritual capitalism create?",,,,,,,,,,
SUBJECTIVE_REALITY_LORE_1,"The subjective reality theory suggests that reality is not an objective entity, but rather a construct of the mind.",,,,,,,,,,
SUBJECTIVE_REALITY_LORE_2,"If conciousness is the fundemental building block of reality, then controlling your conciousness could grant you control over reality.",,,,,,,,,,
SUBJECTIVE_REALITY_LORE_3,"This is the ultimate form of power, to be able to control the fabric of reality itself.",,,,,,,,,,
SYCAMORE_KNOLL_UNDERWATER_ALIEN_BASE_LORE_1,"Sycamore Knoll, an underwater structure off California, has been speculated to be an alien base by some.",,,,,,,,,,
SYCAMORE_KNOLL_UNDERWATER_ALIEN_BASE_LORE_2,"Many UFOologists have suggested that the source of UFOs is not extraterrestrial, but rather a secret underwater base.",,,,,,,,,,
SYCAMORE_KNOLL_UNDERWATER_ALIEN_BASE_LORE_3,"This would imply that they have been here longer than we have, at that point who would the real aliens be?",,,,,,,,,,
SYMBIOGENESIS_LORE_1,Symbiogenesis is the theory that new species arise from symbiotic relationships between different organisms.,,,,,,,,,,
SYMBIOGENESIS_LORE_2,"This theory challenges the traditional view of evolution, which suggests that species change over time through natural selection.",,,,,,,,,,
SYMBIOGENESIS_LORE_3,Symbiogensis instead suggests that life is a single organism living in concert with itself and the world.,,,,,,,,,,
SYNCHRONICITY_LORE_1,"Synchronicity is the idea that events are connected in ways that are not random, but rather are part of a larger pattern.",,,,,,,,,,
SYNCHRONICITY_LORE_2,"The concept was popularized by Carl Jung, who believed that the unconscious mind could influence the conscious mind.",,,,,,,,,,
SYNCHRONICITY_LORE_3,"Those who learn to heed the synchronicites will be guided by the universe, leading them to where they need to go.",,,,,,,,,,
S_EN_LORE_1,People in altered states of conciousness have often reported seeing code running in the background.,,,,,,,,,,
S_EN_LORE_2,They say it can only be percieved when viewing a laser from a certain angle.,,,,,,,,,,
S_EN_LORE_3,Could the photons be bouncing off of something not visible to the naked eye?,,,,,,,,,,
TARTARIA_LORE_1,"Tartaria refers to a supposed advanced civilization before the 19th century, with its legacy erased from history.",,,,,,,,,,
TARTARIA_LORE_2,The science of their loast architectural knowledge game them control over energies and frequences that could heal and empower the body and soul.,,,,,,,,,,
TARTARIA_LORE_3,"They were removed from the earth durring a great calamity in in which mud burried them and their structures, leaving only a few examples of their work.",,,,,,,,,,
THERE_IS_NO_CONSPIRACY_LORE_1,"This theory asserts that conspiracies are illusions, and events are driven by randomness or human incompetence.",,,,,,,,,,
THERE_IS_NO_CONSPIRACY_LORE_2," It challenges the idea of hidden powers, suggesting paranoia itself is the real control mechanism.",,,,,,,,,,
THERE_IS_NO_CONSPIRACY_LORE_3," Paradoxically,it might be the ultimate conspiracy, that nothing is orchestrated after all.",,,,,,,,,,
THE_FINAL_UNDERSTANDING_LORE_1,The Final Understanding implies a moment or concept where all mysteries of existence are comprehended.,,,,,,,,,,
THE_FINAL_UNDERSTANDING_LORE_2,"How this is achieved is unknown, but it is believed to be a moment of enlightenment or realization.",,,,,,,,,,
THE_FINAL_UNDERSTANDING_LORE_3,To achieve this would cause one to become both simulator and simulacrum.,,,,,,,,,,
THE_NEPHELIM_LOOKED_LIKE_CLOWNS_LORE_1,"This theory humorously or bizarrely suggests that the Nephilim, biblical giants, had clown-like features.",,,,,,,,,,
THE_NEPHELIM_LOOKED_LIKE_CLOWNS_LORE_2,The modern clown costume was created by the freemasons and is based on the design of ancient hindu demons.,,,,,,,,,,
THE_NEPHELIM_LOOKED_LIKE_CLOWNS_LORE_3,Those wearing the skin of the Nephilm run the risk of possion by the dispossesed spirits of anti-deluvian giants.,,,,,,,,,,
THE_TRUE_PURPOSE_OF_THE_GREAT_PYRAMIND_LORE_1,"While offical Egyptology suggests the pyramids were built as tombs for pharaohs, some believe they had a different purpose.",,,,,,,,,,
THE_TRUE_PURPOSE_OF_THE_GREAT_PYRAMIND_LORE_2,"Some beleive that the pyramids were used as a tool to control the flow of the Nile river, and to align with the stars.",,,,,,,,,,
THE_TRUE_PURPOSE_OF_THE_GREAT_PYRAMIND_LORE_3,"Archeologists have never found evidence of burial chambers, but have identified a series of chambers that may have been used to focus and store energy.",,,,,,,,,,
THE_UNIVERSE_IS_A_HOLOGRAM_LORE_1,The holographic principle posits that all information in a volume of space can be described on a boundary surface.,,,,,,,,,,
THE_UNIVERSE_IS_A_HOLOGRAM_LORE_2,"If this is the case then it would give the universe fractal properties.No matter how small the scale, you could always zoom in and go even smaller.",,,,,,,,,,
THE_UNIVERSE_IS_A_HOLOGRAM_LORE_3,"Same with zooming out, it would never end. In other words, as above, so below.",,,,,,,,,,
THOTH_WAS_AN_ALCHEMIST_AND_A_HIGH_PREIST_IN_ANCIENT_ATLANTIS_LORE_1,"Thoth was the god of wisdom in ancient egypt, these traditions were passed down from ancient khemet.",,,,,,,,,,
THOTH_WAS_AN_ALCHEMIST_AND_A_HIGH_PREIST_IN_ANCIENT_ATLANTIS_LORE_2,"Khemet is alleged to be the result of atlantian survivors, an attempt to preserve the atlantian culture.",,,,,,,,,,
THOTH_WAS_AN_ALCHEMIST_AND_A_HIGH_PREIST_IN_ANCIENT_ATLANTIS_LORE_3,,,,,,,,,,,
THULE_LORE_1,"Thule is a legendary island in classical sources, later adopted by occultists as a symbol of Indo-European origins.",,,,,,,,,,
THULE_LORE_2,"Thule itself refers to the northernmost point of the world, and the home of the Indo-European people.",,,,,,,,,,
THULE_LORE_3,"Some beleive the inhabitants of thule were the original inhabitants of the world, and that they were descended from the Atlanteans.",,,,,,,,,,
TIMECUBE_LORE_1,"Timecube theory posits that a day should be divided into four simultaneous 24-hour cycles, not one.",,,,,,,,,,
TIMECUBE_LORE_2,"It suggests that traditional timekeeping is a form of control, limiting human understanding of time's true nature.",,,,,,,,,,
TIMECUBE_LORE_3,"Using the power of cubic time is not without risk, as it can cause temporal anomalies and shattered timelines.",,,,,,,,,,
TITANIC_WAS_SUNK_TO_CREATE_THE_FEDERAL_RESERVE_LORE_1,This theory suggests that the Titanic was deliberately sunk to eliminate opposition to the Federal Reserve.,,,,,,,,,,
TITANIC_WAS_SUNK_TO_CREATE_THE_FEDERAL_RESERVE_LORE_2,"Notable figures opposing central banking were aboard, and their deaths cleared the path for the Federal Reserve Act.",,,,,,,,,,
TITANIC_WAS_SUNK_TO_CREATE_THE_FEDERAL_RESERVE_LORE_3," Historians largely dismiss this as coincidence, but it fuels narratives of economic control through tragedy.",,,,,,,,,,
TORSION_FIELDS_LORE_1,"Torsion fields are theoretical fields associated with spin or rotation, suggested to influence gravity or consciousness.",,,,,,,,,,
TORSION_FIELDS_LORE_2,"This thoery positis that the universe is fractal torsion fields, made of smaller fields.",,,,,,,,,,
TORSION_FIELDS_LORE_3,"If this is true, it might provide the mechanism by which reality communicates with itself.",,,,,,,,,,
TOXOPLASMOSIS_EFFECT_ON_THE_HUMAN_BRAIN_LORE_1,"Toxoplasma gondii, found in cats, The parasite's lifecycle is complex, and involves a cat eating a mouse. The infected mouse has its risk aversion reduced, and an attraction to urine is promoted, making it more likely to be eaten by a cat.",,,,,,,,,,
TOXOPLASMOSIS_EFFECT_ON_THE_HUMAN_BRAIN_LORE_2,"The theory suggests that because mice and humans shares some dna, the parasite can deeply alter human behaviour to increase self destructive tendencies, and promote the development of certain fetishes.",,,,,,,,,,
TOXOPLASMOSIS_EFFECT_ON_THE_HUMAN_BRAIN_LORE_3,"Furthermore the goverment is aware of this, which is why Ivermectin (An antiparasitic drug) was surpressed in 2020, if citizens have lower risk aversion, then they are more likely to support policies that harm them.",,,,,,,,,,
TULPAS_LORE_1,Tulpas are thoughtforms or beings created through intense mental concentration and belief.,,,,,,,,,,
TULPAS_LORE_2,This concept straddles the line between spiritual practice and psychological phenomenon.,,,,,,,,,,
TULPAS_LORE_3,"Some believe they can become autonomous, influencing reality or appearing to others.",,,,,,,,,,
VAMPIRES_LORE_1,"Vampires, creatures that feed on blood or life force, are central to many cultural myths.",,,,,,,,,,
VAMPIRES_LORE_2,"Some conspiracy theories suggest real vampires exist, hidden in society or as part of secret bloodlines.",,,,,,,,,,
VAMPIRES_LORE_3,"Whether seen as metaphor for social parasites or literal beings, the vampire myth endures.",,,,,,,,,,
VIMANA_LORE_1,The Vimana is a flying machine mentioned in the ancient texts of the Rigveda.,,,,,,,,,,
VIMANA_LORE_2,"It's described as a large, winged vehicle that can travel through the air.",,,,,,,,,,
VIMANA_LORE_3,Some believe these accounts prove that ancient civilizations had aviation or even space travel capabilities.,,,,,,,,,,
WARS_ARE_STARTED_ON_PURPOSE_FOR_THE_SAKE_OF_PROFIT_LORE_1,"This theory states that wars are orchestrated by those who profit from them, like arms manufacturers or resource companies.",,,,,,,,,,
WARS_ARE_STARTED_ON_PURPOSE_FOR_THE_SAKE_OF_PROFIT_LORE_2,"But not only that, the theory also suggests that the same entities that profit from the war shall profit from the re-building that follows.",,,,,,,,,,
WARS_ARE_STARTED_ON_PURPOSE_FOR_THE_SAKE_OF_PROFIT_LORE_3,"Sell the world a gun, then sell them the bullets, then sell them the bandages, then sell them the peace.",,,,,,,,,,
WETIKO_LORE_1,"Wetiko, from Cree mythology, is a spirit that causes greed, selfishness, and destruction, likened to a mind virus.",,,,,,,,,,
WETIKO_LORE_2,It suggests a non local force that when infecting something can corrupt and destroy it.,,,,,,,,,,
WETIKO_LORE_3,"The cure to Wetiko is found in Wetiko itself, for evil will inevitable destory even itself.",,,,,,,,,,
